pitcher,pitch_type,n,naive_in,inferred_in
Aaron Nola,CH,291,10.759890745918877,8.990704635422128
Aaron Nola,FC,271,8.362758365806016,8.117194072170092
Aaron Nola,FF,844,9.91261809987763,7.803988747369691
Aaron Nola,KC,987,9.711916868248762,8.33500614406446
Aaron Nola,SI,626,8.99556723202734,7.664557072498577
Abner Uribe,ALL,240,12.326466211076037,11.468162991094811
Abner Uribe,FF,3,17.549742124025077,20.855865561760027
Abner Uribe,SI,154,12.88425184389931,11.378637187859223
Abner Uribe,SL,83,11.919243268579743,11.220176012953534
Adam Cimber,ALL,377,11.70892879769529,10.032393001026874
Adam Cimber,FF,112,11.176449466720936,9.730991880162247
Adam Cimber,SI,140,10.511686392016237,9.579496437128427
Adam Cimber,SL,125,14.338692255649452,11.218931053909952
Adam Mazur,ALL,548,11.681131536090085,9.971395497258332
Adam Mazur,CH,56,15.649583880846315,11.847418196513466
Adam Mazur,CU,69,11.676785515457524,9.817375282544681
Adam Mazur,FF,221,11.137193630993224,9.091641201035586
Adam Mazur,SI,21,15.591948494896611,10.184317686077476
Adam Mazur,SL,180,11.600544254067533,9.935407808726266
Adam Mazur,ST,1,13.597760372862695,11.898619549766531
Adam Oller,ALL,683,11.644560463841584,10.149295834804104
Adam Oller,CH,49,13.609835020552632,11.026320190516579
Adam Oller,CU,104,12.272639690968479,11.085559175888967
Adam Oller,FF,286,12.530621266354153,9.50536688754412
Adam Oller,SI,66,9.482211759879387,9.61257780695564
Adam Oller,SL,6,11.425110760974588,10.591626559337893
Adam Oller,SV,172,11.429220878129883,11.01809033229683
Adam Ottavino,ALL,969,11.051302063208476,10.493996608283469
Adam Ottavino,CH,48,14.014369144198746,12.237692213282076
Adam Ottavino,CU,8,20.94997263769784,12.38720253653732
Adam Ottavino,FC,104,10.65834895520784,8.988546085158175
Adam Ottavino,FF,96,10.885994591054878,11.152724167082848
Adam Ottavino,SI,324,9.87445952438602,10.054468372676995
Adam Ottavino,SL,20,11.80411576866748,10.567649482333955
Adam Ottavino,ST,369,11.76239374794821,10.789883253010217
Adbert Alzolay,ALL,306,12.630228775712661,10.507009497288713
Adbert Alzolay,CH,2,19.398742341402944,12.545025422458304
Adbert Alzolay,FC,25,13.178478226294539,9.937461349291814
Adbert Alzolay,FF,61,11.56998786405201,10.070082891818727
Adbert Alzolay,SI,77,14.145111114400525,11.030091232364114
Adbert Alzolay,SL,141,12.995818558947748,10.448963464294089
Adrian Houser,ALL,1063,9.475398134156194,9.006383989496499
Adrian Houser,CH,138,12.964216979548816,9.919315908904
Adrian Houser,CU,89,15.269569219812693,12.00017246463963
Adrian Houser,FF,179,8.928144049846955,9.75311634358028
Adrian Houser,SI,473,8.390222427846846,7.9443663656269115
Adrian Houser,SL,184,10.03362267488758,9.133572765034057
Adrian Morejon,ALL,1026,11.036894574928283,9.67169041100803
Adrian Morejon,CU,8,18.32318896412889,11.965340292902262
Adrian Morejon,FF,237,10.18231180515806,9.025578547087548
Adrian Morejon,KN,81,13.607853933291215,12.911287232085728
Adrian Morejon,SI,368,10.322873611024814,9.274688264920242
Adrian Morejon,SL,311,13.019152186676406,9.879124061879587
Adrian Morejon,ST,21,15.577902605125963,10.389111854124431
Alan Busenitz,ALL,66,9.295593240551202,8.494711979467306
Alan Busenitz,CH,4,12.424109853752606,7.310502702822918
Alan Busenitz,CU,9,13.35664087794406,10.814225712501525
Alan Busenitz,FC,13,5.912338135738715,6.297599343260894
Alan Busenitz,FF,14,12.082065793601476,9.306406865300042
Alan Busenitz,SI,16,6.74414042022774,7.690478599979203
Alan Busenitz,SL,8,8.816394282601554,9.920571921598428
Alan Busenitz,ST,2,12.953586962280006,11.972742794976686
Albert Suárez,ALL,2148,10.484841289075078,9.337052720934198
Albert Suárez,CH,376,10.904623322267359,9.495441114038591
Albert Suárez,CU,289,12.26054996676171,11.850569807287208
Albert Suárez,FC,414,11.16161074404922,10.410569569689702
Albert Suárez,FF,1065,9.80065070498412,8.534718092472382
Albert Suárez,SV,4,17.41291876726023,17.10996571760886
Alec Marsh,ALL,2006,11.60321318270529,10.809137850794224
Alec Marsh,CH,197,12.458917615064907,10.376783317480374
Alec Marsh,CU,327,11.65823767585709,11.48115398498093
Alec Marsh,FF,741,11.870248460789375,10.72099620176021
Alec Marsh,SI,280,10.665584392465147,9.806805594086274
Alec Marsh,SL,372,11.085083621794174,11.244169156969608
Alec Marsh,ST,89,12.091822354879103,11.459895885437737
Alek Jacob,ALL,225,13.642893166998801,9.0703283693385
Alek Jacob,CH,71,13.748281744174863,10.468884503671916
Alek Jacob,FF,48,13.309781389982332,7.466725869820004
Alek Jacob,SI,73,14.407387079420362,8.379055938253487
Alek Jacob,ST,33,13.810060994484887,8.300039385809292
Alek Manoah,ALL,382,12.896205076801431,11.196814829572695
Alek Manoah,CH,56,12.32561100619559,10.719961391935975
